,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,103,Public Class,com.android.camera.BitmapManager,103.0,70.0,11.0,22.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,5.0,5.0,0.0,2.0,0.0,3.0,1.0,70.0,0
1,108,Private Static Class,com.android.camera.BitmapManager.ThreadStatus,18.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
2,114,Public Class,com.android.camera.Camera,2135.0,1653.0,274.0,213.0,5.0,34.0,0.0,3.0,27.0,87.0,67.0,90.0,91.0,0.0,67.0,4.0,19.0,3.0,96.0,1
3,115,Anonymous Class,com.android.camera.Camera.(Anon_2),15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
4,117,Private Class,com.android.camera.Camera.AutoFocusCallback,36.0,29.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
5,119,Private Static Class,com.android.camera.Camera.ErrorCallback,9.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
6,121,Private Class,com.android.camera.Camera.ImageCapture,138.0,104.0,19.0,17.0,1.0,6.0,0.0,0.0,0.0,8.0,2.0,8.0,8.0,0.0,3.0,0.0,5.0,1.0,56.0,0
7,130,Private Class,com.android.camera.Camera.JpegPictureCallback,63.0,47.0,7.0,9.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1
8,133,Private Class,com.android.camera.Camera.LocationListener,57.0,48.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,6.0,3.0,6.0,6.0,0.0,0.0,0.0,6.0,1.0,50.0,0
9,140,Private Class,com.android.camera.Camera.MainHandler,38.0,31.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1
10,142,Private Class,com.android.camera.Camera.MyHeadUpDisplayListener,13.0,10.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0
11,146,Private Class,com.android.camera.Camera.MyOrientationEventListener,26.0,20.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1
12,149,Private Class,com.android.camera.Camera.PostViewPictureCallback,9.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
13,151,Private Class,com.android.camera.Camera.RawPictureCallback,8.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
14,153,Private Class,com.android.camera.Camera.ShutterCallback,9.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
15,155,Private Class,com.android.camera.Camera.ZoomGestureListener,25.0,18.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
16,157,Private Class,com.android.camera.Camera.ZoomListener,21.0,17.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
17,160,Anonymous Class,com.android.camera.Camera.addBaseMenuItems.(Anon_5),4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
18,162,Anonymous Class,com.android.camera.Camera.addBaseMenuItems.(Anon_6),5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1
19,164,Anonymous Class,com.android.camera.Camera.addBaseMenuItems.(Anon_7),5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1
20,167,Anonymous Class,com.android.camera.Camera.addIdleHandler.(Anon_1),5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
21,196,Anonymous Class,com.android.camera.Camera.initializeHeadUpDisplay.(Anon_4),5.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
22,212,Anonymous Class,com.android.camera.Camera.onCreate.(Anon_3),14.0,12.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
23,220,Anonymous Class,com.android.camera.Camera.onRestorePreferencesClicked.(Anon_8),4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
24,263,Public Class,com.android.camera.CameraButtonIntentReceiver,31.0,17.0,2.0,12.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
25,265,Public Class,com.android.camera.CameraHardwareException,10.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
26,267,Public Class,com.android.camera.CameraHolder,161.0,116.0,12.0,35.0,1.0,3.0,0.0,1.0,3.0,8.0,8.0,9.0,9.0,0.0,2.0,0.0,7.0,1.0,72.0,1
27,269,Private Class,com.android.camera.CameraHolder.MyHandler,21.0,15.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0
28,280,Public Class,com.android.camera.CameraLaunchPerformance,24.0,16.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
29,283,Public Abstract Class,com.android.camera.CameraPreference,31.0,22.0,5.0,4.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,44.0,1
30,288,Public Class,com.android.camera.CameraSettings,361.0,302.0,36.0,25.0,1.0,7.0,0.0,12.0,27.0,6.0,3.0,18.0,18.0,0.0,6.0,0.0,12.0,1.0,85.0,1
31,307,Public Class,com.android.camera.ComboPreferences,207.0,172.0,30.0,8.0,3.0,2.0,0.0,2.0,1.0,16.0,3.0,18.0,18.0,0.0,1.0,0.0,17.0,1.0,69.0,1
32,309,Private Class,com.android.camera.ComboPreferences.MyEditor,83.0,70.0,11.0,2.0,2.0,1.0,0.0,0.0,0.0,11.0,2.0,11.0,11.0,1.0,0.0,0.0,10.0,1.0,9.0,0
33,338,Class,com.android.camera.FocusRectangle,29.0,22.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,6.0,0.0,1.0,0.0,5.0,2.0,0.0,0
34,345,Public Class,com.android.camera.IconIndicator,58.0,46.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,5.0,0.0,2.0,0.0,3.0,2.0,50.0,0
35,351,Public Class,com.android.camera.IconListPreference,64.0,54.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,7.0,25.0,0.0,1.0,0.0,6.0,3.0,42.0,1
36,359,Public Class,com.android.camera.ImageManager,365.0,274.0,49.0,43.0,1.0,9.0,0.0,15.0,9.0,1.0,0.0,16.0,16.0,0.0,3.0,0.0,13.0,1.0,0.0,0
37,363,Private Static Class,com.android.camera.ImageManager.EmptyImageList,12.0,10.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0
38,367,Public Static Class,com.android.camera.ImageManager.ImageListParam,54.0,41.0,8.0,5.0,2.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,4.0,1.0,40.0,0
39,368,Anonymous Class,com.android.camera.ImageManager.ImageListParam.(Anon_1),8.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
40,392,Public Class,com.android.camera.IntArray,27.0,23.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,16.0,0
41,396,Class,com.android.camera.JpegEncodingQualityMappings,23.0,19.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
42,398,Public Class,com.android.camera.ListPreference,104.0,81.0,19.0,4.0,1.0,1.0,1.0,0.0,0.0,14.0,6.0,14.0,18.0,0.0,0.0,1.0,13.0,2.0,77.0,1
43,413,Public Class,com.android.camera.MenuHelper,166.0,135.0,19.0,12.0,1.0,2.0,0.0,10.0,24.0,0.0,0.0,10.0,10.0,1.0,2.0,0.0,7.0,1.0,0.0,1
44,415,Anonymous Class,com.android.camera.MenuHelper.addSwitchModeMenuItem.(Anon_2),5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
45,420,Anonymous Class,com.android.camera.MenuHelper.confirmAction.(Anon_1),7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
46,428,Public Class,com.android.camera.NoSearchActivity,12.0,6.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
47,430,Public Class,com.android.camera.OnScreenHint,160.0,101.0,15.0,44.0,1.0,0.0,0.0,1.0,2.0,6.0,12.0,7.0,7.0,0.0,2.0,0.0,5.0,1.0,75.0,1
48,431,Anonymous Class,com.android.camera.OnScreenHint.(Anon_1),4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
49,433,Anonymous Class,com.android.camera.OnScreenHint.(Anon_2),4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
50,442,Public Class,com.android.camera.PreferenceGroup,56.0,38.0,7.0,11.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,7.0,11.0,0.0,0.0,0.0,7.0,2.0,14.0,0
51,450,Public Class,com.android.camera.PreferenceInflater,77.0,62.0,10.0,5.0,1.0,2.0,0.0,0.0,3.0,4.0,1.0,4.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,0
52,455,Public Class,com.android.camera.PreviewFrameLayout,77.0,59.0,12.0,7.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,5.0,5.0,0.0,0.0,2.0,3.0,2.0,65.0,1
53,463,Public Class,com.android.camera.RecordLocationPreference,30.0,20.0,6.0,4.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,28.0,0.0,0.0,0.0,3.0,4.0,33.0,1
54,467,Public Class,com.android.camera.RotateImageView,87.0,62.0,19.0,10.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,33.0,0
55,471,Public Class,com.android.camera.ShutterButton,97.0,50.0,8.0,39.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,7.0,7.0,0.0,1.0,1.0,5.0,2.0,71.0,1
56,480,Anonymous Class,com.android.camera.ShutterButton.drawableStateChanged.(Anon_1),4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
57,484,Public Class,com.android.camera.StressTests,18.0,10.0,0.0,8.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
