,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,4,Class,Align,250,176,44,43,0,4,0,0,11,7,12,7,7,0,0,0,7,0,67,1
1,16,Class,Blend,1428,1056,202,165,0,11,0,0,13,19,13,19,19,0,2,13,4,0,84,1
2,38,Class,BlendRect,5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
3,39,Class,CDelaunay,606,535,45,18,0,4,0,0,0,31,10,31,31,0,25,0,6,0,82,1
4,71,Class,CSite,24,21,3,0,0,3,0,0,0,12,4,12,12,0,0,0,12,0,79,1
5,131,Class,FrameBuffer,109,100,6,3,0,0,0,0,0,11,5,11,11,0,2,0,9,0,69,1
6,152,Class,ImageUtils,400,278,66,56,0,0,0,12,11,0,0,12,12,0,0,0,12,0,84,1
7,199,Class,Matrix33,54,29,9,16,0,0,0,1,0,3,1,4,4,0,0,0,4,0,75,1
8,204,Class,Matrix9,54,29,9,16,0,0,0,1,0,3,1,4,4,0,0,0,4,0,75,1
9,212,Class,Mosaic,372,218,60,95,0,5,0,0,5,10,17,10,10,0,0,1,9,0,71,1
10,226,Class,MosaicFrame,62,42,8,14,0,2,0,0,0,7,7,7,7,0,0,0,7,0,55,1
11,236,Class,MosaicRect,23,17,3,3,0,0,0,0,0,3,4,3,3,0,0,0,3,0,33,1
12,249,Class,PgmImage,271,208,37,26,0,2,0,0,0,19,8,19,19,0,0,2,17,0,55,1
13,288,Class,PyramidShort,257,215,33,22,0,0,0,10,0,0,6,10,10,0,0,0,10,0,50,1
14,300,Abstract Class,Renderer,241,202,33,8,0,1,3,0,0,18,11,18,18,0,0,7,11,0,85,1
15,331,Class,SurfaceTextureRenderer,174,143,24,7,1,0,0,0,0,9,7,9,27,0,2,0,7,1,77,1
16,359,Class,WarpRenderer,184,143,29,15,1,0,0,0,0,8,11,8,26,0,2,0,6,1,81,1
17,372,Class,YUVinfo,69,45,9,15,0,1,0,2,0,0,3,2,2,0,0,0,2,0,0,1
18,375,Class,YVURenderer,143,107,23,13,1,0,0,0,0,6,3,6,24,0,2,0,4,1,66,1
19,409,Public Abstract Class,com.android.camera.ActivityBase,593,459,81,57,2,9,1,2,9,36,24,38,38,0,1,21,16,2,94,0
20,410,Anonymous Class,com.android.camera.ActivityBase.(Anon_1),9,9,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,2,0,0
21,412,Anonymous Class,com.android.camera.ActivityBase.(Anon_2),11,11,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,2,0,0
22,414,Anonymous Class,com.android.camera.ActivityBase.(Anon_3),5,5,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0
23,416,Protected Class,com.android.camera.ActivityBase.CameraOpenThread,13,13,0,0,1,5,0,0,0,1,0,1,1,0,0,0,1,2,0,0
24,418,Private Class,com.android.camera.ActivityBase.HideCameraAppView,16,12,2,2,2,1,0,0,0,3,0,3,3,0,0,0,3,1,0,0
25,422,Class,com.android.camera.ActivityBase.MyAppBridge,91,72,16,3,2,3,0,0,0,16,2,16,16,0,4,0,12,2,71,0
26,439,Private Static Class,com.android.camera.ActivityBase.ScreenOffReceiver,6,6,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,2,0,0
27,479,Public Class,com.android.camera.CameraActivity,400,334,53,15,2,10,1,0,6,43,11,43,81,0,3,7,33,3,87,0
28,480,Private Class,com.android.camera.CameraActivity.MyOrientationEventListener,16,12,1,3,1,2,0,0,0,2,0,2,2,0,0,0,2,2,0,0
29,526,Public Class,com.android.camera.CameraBackupAgent,10,8,2,0,1,1,0,0,1,1,0,1,1,0,0,0,1,2,0,0
30,528,Public Class,com.android.camera.CameraButtonIntentReceiver,31,17,2,12,1,4,0,0,0,1,0,1,1,0,0,0,1,2,0,0
31,530,Public Class,com.android.camera.CameraDisabledException,6,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
32,531,Public Class,com.android.camera.CameraErrorCallback,15,11,1,3,2,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
33,533,Public Class,com.android.camera.CameraHardwareException,10,5,1,4,1,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0
34,535,Public Class,com.android.camera.CameraHolder,262,204,23,39,1,6,0,4,9,10,10,14,14,0,3,0,11,1,84,0
35,537,Private Class,com.android.camera.CameraHolder.MyHandler,21,15,1,5,1,1,0,0,0,2,0,2,2,1,0,0,1,2,0,0
36,540,Private Static Class,com.android.camera.CameraHolder.OpenReleaseState,6,6,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
37,554,Public Class,com.android.camera.CameraLaunchPerformance,25,17,2,6,1,0,0,0,1,2,0,2,2,0,0,0,2,2,0,0
38,557,Public Class,com.android.camera.CameraManager,447,362,69,20,1,2,0,1,27,3,6,4,4,1,2,0,1,1,85,0
