,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,4,Class,Align,250,176,44,43,0.0,4.0,0.0,0.0,11.0,7.0,12.0,7.0,7.0,,0.0,0.0,7.0,0.0,67.0,1
1,16,Class,Blend,1428,1056,202,165,0.0,11.0,0.0,0.0,13.0,19.0,13.0,19.0,19.0,,2.0,13.0,4.0,0.0,84.0,1
2,38,Class,BlendRect,5,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1
3,39,Class,CDelaunay,606,535,45,18,0.0,4.0,0.0,0.0,0.0,31.0,10.0,31.0,31.0,,25.0,0.0,6.0,0.0,82.0,1
4,71,Class,CSite,24,21,3,0,0.0,3.0,0.0,0.0,0.0,12.0,4.0,12.0,12.0,,0.0,0.0,12.0,0.0,79.0,1
5,131,Class,FrameBuffer,109,100,6,3,0.0,0.0,0.0,0.0,0.0,11.0,5.0,11.0,11.0,,2.0,0.0,9.0,0.0,69.0,1
6,152,Class,ImageUtils,400,278,66,56,0.0,0.0,0.0,12.0,11.0,0.0,0.0,12.0,12.0,,0.0,0.0,12.0,0.0,84.0,1
7,199,Class,Matrix33,54,29,9,16,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,4.0,,0.0,0.0,4.0,0.0,75.0,1
8,204,Class,Matrix9,54,29,9,16,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,4.0,,0.0,0.0,4.0,0.0,75.0,1
9,212,Class,Mosaic,372,218,60,95,0.0,5.0,0.0,0.0,5.0,10.0,17.0,10.0,10.0,,0.0,1.0,9.0,0.0,71.0,1
10,226,Class,MosaicFrame,62,42,8,14,0.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,,0.0,0.0,7.0,0.0,55.0,1
11,236,Class,MosaicRect,23,17,3,3,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,,0.0,0.0,3.0,0.0,33.0,1
12,249,Class,PgmImage,271,208,37,26,0.0,2.0,0.0,0.0,0.0,19.0,8.0,19.0,19.0,,0.0,2.0,17.0,0.0,55.0,1
13,288,Class,PyramidShort,257,215,33,22,0.0,0.0,0.0,10.0,0.0,0.0,6.0,10.0,10.0,,0.0,0.0,10.0,0.0,50.0,1
14,300,Abstract Class,Renderer,241,202,33,8,0.0,1.0,3.0,0.0,0.0,18.0,11.0,18.0,18.0,,0.0,7.0,11.0,0.0,85.0,1
15,331,Class,SurfaceTextureRenderer,174,143,24,7,1.0,0.0,0.0,0.0,0.0,9.0,7.0,9.0,27.0,,2.0,0.0,7.0,1.0,77.0,1
