,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,386,Public Class,com.android.contacts.BackScrollManager,67,42,7,18,1.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,55.0,0
1,387,Anonymous Class,com.android.contacts.BackScrollManager.(Anon_1),25,20,2,3,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
2,396,Public Class,com.android.contacts.CallContactActivity,36,25,5,6,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,17.0,0.0,0.0,1.0,1.0,4.0,0.0,0
3,399,Public Class,com.android.contacts.CallDetailActivity,865,657,93,118,2.0,22.0,0.0,0.0,14.0,29.0,31.0,29.0,29.0,0.0,16.0,3.0,10.0,2.0,94.0,0
4,400,Anonymous Class,com.android.contacts.CallDetailActivity.(Anon_3),8,8,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
5,402,Anonymous Class,com.android.contacts.CallDetailActivity.(Anon_4),8,8,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
6,404,Anonymous Class,com.android.contacts.CallDetailActivity.(Anon_5),9,9,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
7,406,Private Class,com.android.contacts.CallDetailActivity.PhoneNumberActionModeCallback,45,35,8,3,2.0,2.0,0.0,0.0,0.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,1.0,60.0,0
8,412,Private Class,com.android.contacts.CallDetailActivity.ProximitySensorListener,50,37,4,9,2.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,0.0,1.0,0.0,3.0,1.0,50.0,0
9,413,Anonymous Class,com.android.contacts.CallDetailActivity.ProximitySensorListener.(Anon_1),7,7,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
10,415,Anonymous Class,com.android.contacts.CallDetailActivity.ProximitySensorListener.(Anon_2),7,7,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
11,424,Static Class,com.android.contacts.CallDetailActivity.ViewEntry,26,19,3,4,1.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,57.0,0
12,441,Anonymous Class,com.android.contacts.CallDetailActivity.markVoicemailAsRead.(Anon_6),9,9,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
13,450,Anonymous Class,com.android.contacts.CallDetailActivity.onMenuRemoveFromCallLog.(Anon_10),12,11,1,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
14,454,Anonymous Class,com.android.contacts.CallDetailActivity.onMenuTrashVoicemail.(Anon_11),10,10,0,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
15,463,Class,com.android.contacts.CallDetailActivity.updateData.UpdateContactDetailsTask,197,149,17,31,1.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
16,466,Anonymous Class,com.android.contacts.CallDetailActivity.updateData.UpdateContactDetailsTask.onPostExecute.(Anon_7),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
17,468,Anonymous Class,com.android.contacts.CallDetailActivity.updateData.UpdateContactDetailsTask.onPostExecute.(Anon_8),23,17,2,4,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,50.0,0
18,472,Anonymous Class,com.android.contacts.CallDetailActivity.updateVoicemailStatusMessage.(Anon_9),5,5,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
19,474,Public Class,com.android.contacts.CallDetailActivityQueryHandler,76,53,8,15,1.0,2.0,0.0,0.0,5.0,6.0,2.0,6.0,6.0,0.0,3.0,1.0,2.0,2.0,75.0,0
20,481,Public Class,com.android.contacts.CallDetailActivityTest,286,217,24,45,1.0,7.0,0.0,0.0,4.0,23.0,6.0,23.0,23.0,0.0,9.0,2.0,12.0,2.0,79.0,0
21,501,Anonymous Class,com.android.contacts.CallDetailActivityTest.testOnResumeDoesNotCreateManyFragments.(Anon_1),8,8,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
22,507,Public Class,com.android.contacts.Collapser,58,30,7,21,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0
23,515,Public Class,com.android.contacts.ContactDetailTest,33,18,4,11,1.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,66.0,1
24,519,Public Class,com.android.contacts.ContactListEmptyView,82,71,6,5,1.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,4.0,0.0,1.0,0.0,3.0,2.0,0.0,0
25,524,Public Class,com.android.contacts.ContactLoader,1298,1014,141,145,1.0,13.0,0.0,0.0,3.0,24.0,9.0,24.0,24.0,0.0,12.0,3.0,9.0,2.0,86.0,0
26,527,Private Static Class,com.android.contacts.ContactLoader.ContactQuery,149,134,11,4,1.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
27,528,Private Static Class,com.android.contacts.ContactLoader.DirectoryQuery,20,16,1,3,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
28,529,Private Static Class,com.android.contacts.ContactLoader.GroupQuery,21,20,1,0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
29,530,Public Static Class,com.android.contacts.ContactLoader.Result,426,301,60,66,1.0,5.0,0.0,2.0,0.0,44.0,31.0,46.0,46.0,1.0,7.0,0.0,38.0,1.0,91.0,0
30,602,Public Class,com.android.contacts.ContactLoaderTest,348,274,62,14,1.0,9.0,0.0,0.0,0.0,12.0,2.0,12.0,12.0,0.0,1.0,2.0,9.0,2.0,54.0,0
31,603,Class,com.android.contacts.ContactLoaderTest.ContactQueries,100,79,19,2,1.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0
32,609,Anonymous Class,com.android.contacts.ContactLoaderTest.setUp.(Anon_1),5,5,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,1.0,3.0,0.0,0
33,621,Public Abstract Class,com.android.contacts.ContactPhotoManager,192,87,27,80,2.0,4.0,2.0,4.0,7.0,14.0,0.0,18.0,18.0,0.0,0.0,0.0,18.0,1.0,90.0,0
34,622,Private Static Class,com.android.contacts.ContactPhotoManager.AvatarDefaultImageProvider,6,6,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0
35,624,Private Static Class,com.android.contacts.ContactPhotoManager.BlankDefaultImageProvider,13,12,1,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0
36,626,Public Static Abstract Class,com.android.contacts.ContactPhotoManager.DefaultImageProvider,7,3,0,4,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
37,646,Class,com.android.contacts.ContactPhotoManagerImpl,963,676,116,174,2.0,6.0,0.0,3.0,9.0,21.0,12.0,24.0,42.0,0.0,11.0,0.0,13.0,2.0,84.0,0
38,647,Private Static Class,com.android.contacts.ContactPhotoManagerImpl.BitmapHolder,18,13,2,3,1.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,50.0,0
39,650,Anonymous Class,com.android.contacts.ContactPhotoManagerImpl.ContactPhotoManagerImpl.(Anon_1),9,8,1,0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0
40,653,Anonymous Class,com.android.contacts.ContactPhotoManagerImpl.ContactPhotoManagerImpl.(Anon_2),9,8,1,0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0
41,656,Private Class,com.android.contacts.ContactPhotoManagerImpl.LoaderThread,303,222,34,47,2.0,3.0,0.0,0.0,9.0,10.0,9.0,10.0,10.0,0.0,5.0,0.0,5.0,2.0,74.0,0
42,667,Private Static Class,com.android.contacts.ContactPhotoManagerImpl.Request,80,61,11,10,1.0,2.0,0.0,2.0,0.0,9.0,5.0,11.0,11.0,0.0,1.0,0.0,10.0,1.0,63.0,0
43,702,Public Class,com.android.contacts.ContactPresenceIconUtil,26,16,0,10,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
44,704,Public Class,com.android.contacts.ContactSaveService,1077,782,135,160,1.0,8.0,0.0,18.0,40.0,23.0,1.0,41.0,41.0,1.0,21.0,1.0,18.0,2.0,92.0,1
45,731,Anonymous Class,com.android.contacts.ContactSaveService.deliverCallback.(Anon_2),6,5,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
46,749,Anonymous Class,com.android.contacts.ContactSaveService.showToast.(Anon_1),6,5,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
47,753,Public Class,com.android.contacts.ContactStatusUtil,25,19,3,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
48,755,Public Class,com.android.contacts.ContactTileLoaderFactory,66,47,9,25,1.0,0.0,0.0,4.0,12.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0
49,760,Public Abstract Class,com.android.contacts.ContactsActivity,99,75,13,11,2.0,3.0,17.0,2.0,0.0,8.0,1.0,10.0,15.0,0.0,0.0,4.0,6.0,3.0,90.0,1
