,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,192,Public Class,com.android.contacts.ContactSaveService,1237,904,154,180,1.0,6.0,0.0,20.0,43.0,28.0,1.0,48.0,48.0,1.0,26.0,1.0,20.0,2.0,93.0,1
1,224,Anonymous Class,com.android.contacts.ContactSaveService.deliverCallback.(Anon_2),6,5,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
2,245,Anonymous Class,com.android.contacts.ContactSaveService.showToast.(Anon_1),6,5,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
3,249,Public Abstract Class,com.android.contacts.ContactsActivity,99,75,13,11,2.0,2.0,9.0,2.0,0.0,8.0,1.0,10.0,10.0,0.0,0.0,4.0,6.0,2.0,90.0,0
4,262,Public Class,com.android.contacts.ContactsApplication,107,76,19,14,1.0,1.0,0.0,2.0,4.0,4.0,2.0,6.0,6.0,0.0,0.0,0.0,6.0,2.0,72.0,1
5,263,Private Class,com.android.contacts.ContactsApplication.DelayedInitializer,19,13,3,3,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0
6,272,Public Class,com.android.contacts.ContactsLaunchPerformance,25,16,3,6,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
7,275,Public Class,com.android.contacts.GroupListLoader,34,24,4,6,1.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
8,277,Public Class,com.android.contacts.GroupMemberLoader,93,72,12,20,1.0,2.0,0.0,2.0,0.0,4.0,1.0,6.0,6.0,0.0,4.0,0.0,2.0,2.0,66.0,0
9,278,Public Static Class,com.android.contacts.GroupMemberLoader.GroupDetailQuery,17,16,1,6,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
