,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,246,Public Class,com.android.mms.ContentRestrictionException,18,12,3,3,1.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0
1,250,Public Class,com.android.mms.ExceedMessageSizeException,14,9,2,3,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0
2,253,Public Class,com.android.mms.LogTag,72,61,11,2,1.0,0.0,0.0,6.0,7.0,0.0,0.0,6.0,6.0,0.0,2.0,0.0,4.0,1.0,0.0,1
3,260,Anonymous Class,com.android.mms.LogTag.warnPossibleRecipientMismatch.(Anon_1),13,13,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
4,262,Anonymous Class,com.android.mms.LogTag.warnPossibleRecipientMismatch.(Anon_1).run.(Anon_2),4,4,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
5,264,Public Class,com.android.mms.MmsApp,68,43,11,14,1.0,10.0,0.0,1.0,2.0,5.0,2.0,6.0,6.0,0.0,0.0,0.0,6.0,2.0,77.0,1
6,271,Public Class,com.android.mms.MmsConfig,322,260,47,27,1.0,1.0,0.0,32.0,36.0,0.0,0.0,32.0,32.0,0.0,1.0,0.0,31.0,1.0,93.0,1
7,304,Public Class,com.android.mms.MmsLaunchPerformance,22,15,4,3,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
8,307,Public Class,com.android.mms.MmsStability,85,62,10,15,1.0,2.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,2.0,3.0,2.0,76.0,0
9,309,Class,com.android.mms.MmsStability.sendMms,15,12,2,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
10,315,Public Class,com.android.mms.RecyclerTest,215,156,19,42,1.0,2.0,0.0,0.0,3.0,4.0,7.0,4.0,4.0,0.0,2.0,1.0,1.0,2.0,67.0,0
11,316,Anonymous Class,com.android.mms.RecyclerTest.(Anon_1),36,30,1,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
12,318,Anonymous Class,com.android.mms.RecyclerTest.(Anon_2),11,10,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
13,324,Public Class,com.android.mms.ResolutionException,14,9,2,3,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0
14,327,Public Class,com.android.mms.SuggestionsProvider,448,345,82,25,1.0,1.0,0.0,0.0,1.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,2.0,0.0,1
15,328,Private Class,com.android.mms.SuggestionsProvider.SuggestionsCursor,394,305,72,20,2.0,1.0,0.0,0.0,0.0,58.0,9.0,58.0,58.0,0.0,2.0,0.0,56.0,1.0,91.0,1
