,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,282,Public Class,com.android.mms.ContentRestrictionException,18,12,3,3,1.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0
1,286,Public Class,com.android.mms.ExceedMessageSizeException,14,9,2,3,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0
2,289,Public Class,com.android.mms.LogTag,102,85,13,9,1.0,0.0,0.0,7.0,15.0,0.0,0.0,7.0,7.0,0.0,2.0,0.0,5.0,1.0,0.0,0
3,292,Anonymous Class,com.android.mms.LogTag.dumpInternalTables.(Anon_1),9,9,0,0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
4,299,Anonymous Class,com.android.mms.LogTag.warnPossibleRecipientMismatch.(Anon_2),13,13,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
5,301,Anonymous Class,com.android.mms.LogTag.warnPossibleRecipientMismatch.(Anon_2).run.(Anon_3),4,4,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
6,303,Public Class,com.android.mms.MmsApp,123,85,20,18,1.0,13.0,0.0,1.0,2.0,10.0,8.0,11.0,11.0,0.0,0.0,0.0,11.0,2.0,82.0,1
7,313,Anonymous Class,com.android.mms.MmsApp.onCreate.(Anon_1),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
8,317,Public Class,com.android.mms.MmsConfig,370,289,55,42,1.0,0.0,0.0,36.0,40.0,0.0,0.0,36.0,36.0,0.0,1.0,0.0,35.0,1.0,94.0,1
9,354,Public Class,com.android.mms.MmsLaunchPerformance,22,15,4,3,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
10,357,Public Class,com.android.mms.MmsStability,85,62,10,15,1.0,2.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,2.0,3.0,2.0,76.0,0
11,359,Class,com.android.mms.MmsStability.sendMms,15,12,2,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
12,365,Public Class,com.android.mms.RecyclerTest,215,156,19,42,1.0,2.0,0.0,0.0,3.0,4.0,7.0,4.0,4.0,0.0,2.0,1.0,1.0,2.0,67.0,0
13,366,Anonymous Class,com.android.mms.RecyclerTest.(Anon_1),36,30,1,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
14,368,Anonymous Class,com.android.mms.RecyclerTest.(Anon_2),11,10,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
15,374,Public Class,com.android.mms.ResolutionException,14,9,2,3,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0
16,377,Public Class,com.android.mms.SmsTestRunner,68,47,4,17,1.0,2.0,0.0,0.0,0.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,66.0,0
17,381,Public Class,com.android.mms.SuggestionsProvider,392,296,68,33,1.0,1.0,0.0,0.0,1.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,2.0,0.0,1
18,382,Private Class,com.android.mms.SuggestionsProvider.SuggestionsCursor,338,256,58,28,2.0,1.0,0.0,0.0,0.0,45.0,10.0,45.0,45.0,0.0,2.0,0.0,43.0,1.0,89.0,1
19,383,Private Class,com.android.mms.SuggestionsProvider.SuggestionsCursor.Row,12,11,1,0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,25.0,0
20,438,Public Class,com.android.mms.TempFileProvider,154,92,24,40,1.0,0.0,0.0,4.0,4.0,8.0,0.0,12.0,12.0,0.0,1.0,0.0,11.0,2.0,83.0,1
21,451,Public Class,com.android.mms.UnsupportContentTypeException,14,9,2,3,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0
22,455,Public Class,com.android.mms.apptests.SmsSendIntentTestActivity,158,137,20,3,1.0,0.0,0.0,0.0,1.0,6.0,4.0,6.0,6.0,0.0,2.0,2.0,2.0,2.0,62.0,1
23,458,Anonymous Class,com.android.mms.apptests.SmsSendIntentTestActivity.onCreate.(Anon_1),4,4,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
24,460,Anonymous Class,com.android.mms.apptests.SmsSendIntentTestActivity.onCreate.(Anon_2),4,4,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
25,462,Anonymous Class,com.android.mms.apptests.SmsSendIntentTestActivity.onCreate.(Anon_3),4,4,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
26,464,Anonymous Class,com.android.mms.apptests.SmsSendIntentTestActivity.onCreate.(Anon_4),4,4,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
27,466,Anonymous Class,com.android.mms.apptests.SmsSendIntentTestActivity.onCreate.(Anon_5),4,4,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
28,468,Anonymous Class,com.android.mms.apptests.SmsSendIntentTestActivity.onCreate.(Anon_6),6,6,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
29,475,Public Class,com.android.mms.data.Contact,1137,851,134,180,1.0,5.0,0.0,13.0,12.0,28.0,18.0,41.0,41.0,0.0,8.0,0.0,33.0,1.0,93.0,1
30,476,Anonymous Class,com.android.mms.data.Contact.(Anon_1),8,8,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
31,481,Private Static Class,com.android.mms.data.Contact.ContactsCache,796,605,81,130,1.0,6.0,0.0,0.0,28.0,22.0,3.0,22.0,22.0,2.0,16.0,0.0,4.0,1.0,81.0,1
