,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,310,Public Class,com.android.mms.ContentRestrictionException,18,12,3,3,1.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0
1,314,Public Class,com.android.mms.ExceedMessageSizeException,14,9,2,3,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0
2,317,Public Class,com.android.mms.InterceptSendSms,106,70,18,19,1.0,4.0,0.0,0.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,77.0,0
3,319,Public Class,com.android.mms.InterceptSendSms.InterceptSmsReceiver,24,14,3,7,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
4,321,Class,com.android.mms.InterceptSendSms.sendMms,19,15,3,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
5,326,Public Class,com.android.mms.LogTag,102,85,13,9,1.0,0.0,0.0,7.0,15.0,0.0,0.0,7.0,7.0,0.0,2.0,0.0,5.0,1.0,0.0,0
6,329,Anonymous Class,com.android.mms.LogTag.dumpInternalTables.(Anon_1),9,9,0,0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
7,336,Anonymous Class,com.android.mms.LogTag.warnPossibleRecipientMismatch.(Anon_2),13,13,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
8,338,Anonymous Class,com.android.mms.LogTag.warnPossibleRecipientMismatch.(Anon_2).run.(Anon_3),4,4,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
9,340,Public Class,com.android.mms.MmsApp,145,97,23,25,1.0,15.0,0.0,1.0,2.0,11.0,8.0,12.0,12.0,0.0,1.0,0.0,11.0,2.0,84.0,0
