,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,420,Public Class,com.android.settings.AccountPreference,120,108,8,8,1.0,0.0,0.0,0.0,5.0,8.0,5.0,8.0,8.0,0.0,3.0,1.0,4.0,2.0,72.0,1
1,429,Public Class,com.android.settings.ActivityPicker,426,267,60,100,3.0,2.0,1.0,0.0,0.0,6.0,2.0,6.0,6.0,0.0,0.0,4.0,2.0,2.0,58.0,0
2,430,Private Static Class,com.android.settings.ActivityPicker.EmptyDrawable,46,37,9,0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,9.0,9.0,1.0,0.0,0.0,8.0,2.0,66.0,0
3,440,Private Static Class,com.android.settings.ActivityPicker.IconResizer,112,77,11,24,1.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,9.0,0
4,443,Protected Static Class,com.android.settings.ActivityPicker.PickAdapter,124,72,16,36,1.0,1.0,0.0,0.0,0.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,2.0,50.0,0
5,444,Public Static Class,com.android.settings.ActivityPicker.PickAdapter.Item,69,45,7,17,2.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,3.0,0.0,1.0,1.0,1.0,60.0,0
6,461,Public Class,com.android.settings.AirplaneModeEnabler,110,72,21,17,2.0,0.0,0.0,1.0,1.0,7.0,5.0,8.0,8.0,0.0,2.0,0.0,6.0,1.0,60.0,0
7,462,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_1),9,9,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
8,464,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
9,474,Public Class,com.android.settings.AllowBindAppWidgetActivity,95,81,8,6,2.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,38.0,1
10,478,Public Class,com.android.settings.ApnEditor,625,518,79,50,3.0,0.0,0.0,0.0,35.0,21.0,28.0,21.0,21.0,0.0,10.0,4.0,7.0,2.0,82.0,1
11,500,Public Class,com.android.settings.ApnPreference,99,82,17,0,3.0,0.0,0.0,0.0,3.0,10.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,2.0,72.0,1
12,511,Public Class,com.android.settings.ApnSettings,309,256,53,2,2.0,3.0,0.0,1.0,17.0,15.0,6.0,16.0,16.0,0.0,6.0,6.0,4.0,2.0,89.0,1
13,512,Anonymous Class,com.android.settings.ApnSettings.(Anon_1),17,17,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1
14,514,Private Class,com.android.settings.ApnSettings.RestoreApnProcessHandler,20,18,2,0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1
15,517,Private Class,com.android.settings.ApnSettings.RestoreApnUiHandler,18,18,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1
16,535,Public Class,com.android.settings.AppPicker,102,86,11,5,1.0,2.0,0.0,0.0,1.0,4.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,2.0,50.0,0
17,536,Anonymous Class,com.android.settings.AppPicker.(Anon_1),7,6,1,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
