,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,489,Public Class,com.android.settings.AccountPreference,122,110,8,8,1.0,0.0,0.0,0.0,5.0,8.0,5.0,8.0,8.0,0.0,3.0,1.0,4.0,2.0,72.0,1
1,498,Public Class,com.android.settings.ActiveNetworkScorerDialog,74,57,9,8,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,1
2,502,Public Class,com.android.settings.ActivityPicker,426,267,60,100,3.0,2.0,1.0,0.0,0.0,6.0,2.0,6.0,6.0,0.0,0.0,4.0,2.0,2.0,58.0,0
3,503,Private Static Class,com.android.settings.ActivityPicker.EmptyDrawable,46,37,9,0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,9.0,9.0,1.0,0.0,0.0,8.0,2.0,66.0,0
4,513,Private Static Class,com.android.settings.ActivityPicker.IconResizer,112,77,11,24,1.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,9.0,0
5,516,Protected Static Class,com.android.settings.ActivityPicker.PickAdapter,124,72,16,36,1.0,1.0,0.0,0.0,0.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,2.0,50.0,0
6,517,Public Static Class,com.android.settings.ActivityPicker.PickAdapter.Item,69,45,7,17,2.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,3.0,0.0,1.0,1.0,1.0,60.0,0
7,534,Public Class,com.android.settings.AirplaneModeEnabler,110,72,21,17,2.0,0.0,0.0,1.0,1.0,7.0,5.0,8.0,8.0,0.0,2.0,0.0,6.0,1.0,60.0,1
8,535,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_1),9,9,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
9,537,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
10,547,Public Class,com.android.settings.AirplaneModeVoiceActivity,18,13,1,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,1
11,549,Public Class,com.android.settings.AllowBindAppWidgetActivity,107,92,9,6,2.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,38.0,0
12,553,Public Class,com.android.settings.ApnEditor,635,526,79,52,3.0,0.0,0.0,0.0,35.0,21.0,28.0,21.0,21.0,0.0,10.0,4.0,7.0,2.0,82.0,1
13,575,Public Class,com.android.settings.ApnPreference,100,83,17,0,3.0,0.0,0.0,0.0,3.0,10.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,2.0,72.0,0
14,586,Public Class,com.android.settings.ApnSettings,343,280,63,2,2.0,3.0,0.0,1.0,17.0,15.0,8.0,16.0,51.0,0.0,6.0,0.0,10.0,3.0,87.0,1
15,587,Anonymous Class,com.android.settings.ApnSettings.(Anon_1),17,17,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
16,589,Private Class,com.android.settings.ApnSettings.RestoreApnProcessHandler,20,18,2,0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
17,592,Private Class,com.android.settings.ApnSettings.RestoreApnUiHandler,23,23,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
18,610,Public Class,com.android.settings.AppListPreference,84,69,7,8,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,33.0,1
19,611,Public Class,com.android.settings.AppListPreference.AppArrayAdapter,25,23,2,0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
20,617,Public Class,com.android.settings.AppPicker,102,86,11,5,1.0,2.0,0.0,0.0,1.0,4.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,2.0,50.0,1
21,618,Anonymous Class,com.android.settings.AppPicker.(Anon_1),7,6,1,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
22,620,Public Class,com.android.settings.AppPicker.AppListAdapter,52,45,2,5,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,25.0,1
