,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,605,Public Class,com.android.settings.AccessiblePreferenceCategory,21,14,4,3,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,33.0,1
1,609,Public Class,com.android.settings.AccountPreference,120,108,8,8,1.0,0.0,0.0,0.0,5.0,8.0,5.0,8.0,8.0,0.0,3.0,1.0,4.0,2.0,72.0,1
2,618,Public Class,com.android.settings.ActiveNetworkScorerDialog,78,61,9,8,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,1
3,622,Public Class,com.android.settings.ActivityPicker,426,267,60,100,3.0,2.0,1.0,0.0,0.0,6.0,2.0,6.0,6.0,0.0,0.0,4.0,2.0,2.0,58.0,0
4,623,Private Static Class,com.android.settings.ActivityPicker.EmptyDrawable,46,37,9,0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,9.0,9.0,1.0,0.0,0.0,8.0,2.0,66.0,0
5,633,Private Static Class,com.android.settings.ActivityPicker.IconResizer,112,77,11,24,1.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,9.0,0
6,636,Protected Static Class,com.android.settings.ActivityPicker.PickAdapter,124,72,16,36,1.0,1.0,0.0,0.0,0.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,2.0,50.0,0
7,637,Public Static Class,com.android.settings.ActivityPicker.PickAdapter.Item,69,45,7,17,2.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,3.0,0.0,1.0,1.0,1.0,60.0,0
8,654,Public Class,com.android.settings.AirplaneModeEnabler,107,70,20,17,2.0,0.0,0.0,0.0,1.0,7.0,5.0,7.0,7.0,0.0,2.0,0.0,5.0,1.0,51.0,0
9,655,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_1),9,9,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
10,657,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
11,666,Public Class,com.android.settings.AirplaneModeVoiceActivity,18,13,1,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,1
12,668,Public Class,com.android.settings.AllowBindAppWidgetActivity,107,92,9,6,2.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,38.0,0
13,672,Public Class,com.android.settings.ApnEditor,720,600,85,58,3.0,1.0,0.0,0.0,36.0,23.0,32.0,23.0,26.0,0.0,11.0,5.0,7.0,3.0,84.0,1
